tweet,label
bebas aku tinggal sendiri bahkan sering disuruh nginep biar ga sendiri ada yg bisa mastiin aku baik baik aja,trust
file penting gak bisa dibuka stres tingkat dewa ekspresi takut,fear
tapi udah tau kalo ketiduran,anticipation
dan hal tolol ini gak akan gue ulang lagi,anger
michi naksir doi temennya takut ada keributan,fear
iyaaa memang xixixi jago dia mah ngegambar cuma kesabarannya setipis tissue,joy
ih iya banyak udah gt kadang yg badannya kecil bantu ngangkat pasien yg bb nya x dari dirinya,surprise
beli makanan di sini rasanya benerbener gak enak nyesel beli,disgust
kamu seharusnya di bk,surprise
aku bermimpi bahwa aku akan wisuda aku mulai menangis lalu aku pulang untuk tidur siang melewatkannya lalu seekor lebah menyengatku,surprise
harus pergi bekerja sinar matahari dan tidur nyenyak yang khas hari jumat bodoh,disgust
jgn gt nmbh sedih nie,sadness
tak terduga temen deket tibatiba pindah ke luar negeri tanpa bilangbilang,surprise
kampus ini punya kebijakan yang nggak adil buat mahasiswa jijik banget,disgust
orang tua marah kalo nilai raport jelek degdegan tiap terima raport,fear
dan aku baru tau kalo ada pantai selain kejawanan,surprise
nah itu siapa tau berhadiah sepeda,anticipation
kyuhyun suruh kerumahku aja deh ya tinggal selamanya disini sama aku berkebun,joy
kenapa kalo naik motor suka ketawatawa karena kita duduk diatas jokes,joy
kok om sih gugup,fear
pertemuan romantis terimakasih abang with febryan ekspresi senang,joy
polisi iache kutisha raia wema ipambane na wezi na wala rushwa ndani ya ccm sio kulinda hao majambazi polisi mlih,anger
rek aku cewek umur thn aku diumur segini masih aja dipukulin sama bapakku sendiri hanya krn masalah sepele misal salah pake panci buat masak mie aku dr kecil dah biasa dipukul dan ibuku malah mengancam aku kalo sampe lapor ke siapa aja aku harus gmn aku udah menyerah dengan hidup,sadness
ya iya lah masak nggak takut kalau bobroknya dibongkar di pengadilan,fear
anehnya lagi ada anggota kaget kok bengkak anggaranya,fear
enaknya dimasakin ekspresi senang,joy
ternyata ada yg lebih bego dari aku jauh malah,anger
yaampun denise sedih banget,sadness
tazz ini kalo ke team macam aura dewa bakal gacor gak sih mm sama roamer oke,anticipation
iya anjrott jangan jangan dia punya dendam sama gue ya,anger
jaket ini bikin keringetan gak enak dipakai,disgust
mobil beneran,surprise
sumpah yaa instagram tuh kadang resee suka gak kasih notiff,anger
tadi pagi kelock yank dahlah meskipun udah unlock tetep takut banget jadinya move sekarang aja,fear
tinggal beberapa hari lagi menuju pernikahan sahabat,anticipation
hingga rambutmu memutih,sadness
rumah impian gua di masa depan atapnya harus transparan biar bisa liat bintang bintang klo malem,anticipation
jumat malem sabtu tonton ini dulu laah,anticipation
lihat nia yang badannya pendek banget kayak masih smp aja,disgust
kondisi politik makin panas bikin gak tenang,fear
apakah kamu bidadari yang dikirim untuk kumiliki hehe,anticipation
wkwkwk kok kamu tau si iyaa aku kerja daerah sana kadang sepedaan dari nana rohana ke lengkong kecil,joy
dengan senang hati kami informasikan ibu ada kcu depok di jalan margonda raya no ya tks tian,trust
bisa atau tidak yang penting bismillah dulu yuhuu,anticipation
aku ada cat jual jt diurus sampe fisik trusted juga bisa bayar abis gajian,trust
kenapa ian cuma satu di dunia ini seumpama w punya pacar yg woa nya mirip belio keknya hidup gue dah sangat sempur,sadness
omg spechless aku,surprise
gue senin kmrn ampir di serempet motor karena bule tolol naik nmax lawan arah gue posisi liat kanan karena laju kendaraan dr sana kan eh si bangsat ngebut dr kiri bener inch from terrible accident,anger
sayur kan enak seru dong kalo ada pacarnya kalo ga ada pacar baru aneh ekspresi senang,joy
anj suaranya deep bgt takut,fear
cantik cantik cantik sahabat lupa tirai,joy
masya allah selamat yaa besti,surprise
heheh tapi aku takut dimaininn aduh ekspresi takut,fear
aku takut,fear
yaampun kenapa pada tutup semua aku mau makan apa dong,sadness
kelakuan orang yang nggak pernah cuci tangan abis makan bikin jijik dan nggak sehat,disgust
bingkisan abis perawatan hihi,joy
karakter cowok dengan kemampuan supranatural di drakor,anger
bapak mundur aja fokus pemilihan umum percuma gk ada perubahan nya,disgust
bila rasulullah mula diutus baginda solat berkiblatkan masjidil aqsa sama seperti para nabi bani israil,trust
biar daundaun saja yang luruh cinta aku tetap lirihkan doa,sadness
jadi perempuan kena pandai suami banyak pemandangan diluar balik rumah macam nampak biawak terbakar bergayalah selalu ya puan puan,anger
kok begitu ceritanya,surprise
gue udah review semuanya gak ada masalah kok,trust
klo benci sama,anger
dapet pamer dikit thanks mama ku,joy
lukaku banyak banget disini dan kalo tiba keinget masih suka nangis masih terasa sakit,sadness
aku ada tiket presale cc bukopin cat a normal price aja mau ka row pasti lbh depan dr gensale dm yaa,trust
cantik cantik cantik,joy
pak lewat jalur binangun widarapayung dong masih di clp kan,anticipation
dua puluh menit dalam panggilan sialan kamu akan berpikir bahwa orang itu akan menyebutkan sudah ada tiket masalah yang menyelidiki masalah ini,disgust
penasaran nanti sore di undangan resmi ada pengumuman penting apa,anticipation
kaget gua,surprise
insyaallaahini smw terjd krn slh ajar para ulama bhw islam agama damaitidakkkkislam adalah agama perang membunuhterbunuhterhdp kekafiranhny ulama pengecut amp jahil yg tdk mewjbkan memerangi segenap kekafiranhinakan kekafiran kalau tdk kalian yg akan terhina oleh mrk,anger
baik admin infokan daerah t adalah daerah terdepan terluar dan tertinggal benar kakak untuk promo ini,trust
ada ga sih cewe yang tulus ke aku takut patah hati,fear
oh tuhan ada ngengat yang tinggal di stopkontak sialan sebenarnya powersquidku,disgust
usaha lo gak bakal siasia dia pasti ngerti,trust
oh tidak selamat malam,surprise
kapan kau tdk lagi jadi penjilat manusia paling bego di indonesia adalah ruhut,anger
temennya tanaka,trust
keren banget lukisan dia kayak hidup gitu,surprise
baru pengen mulai,anticipation
lah ngapa jadi bawa sby bro pada hakikatnya sah saja apabila ada orang yg muji maupun benci asal alasannya konkret dan tdk munafik ngomong apa ngasi gambar apa jaka sembung bawa kembang ga nyambung sayang,anger
ngomongngomong fanmeet sbs sekitar akhir tahun apakah berarti mereka akan rilis special episode,anticipation
kaka cantik tgl ruko buka tutup,joy
anak cewe sendirii takut kenapa napaa kali sy pun tak tahu,fear
jadi waktu sma tuh aku pengen banget yang namanya perawatan ke klinik kecantikan macem erhanatasha gitu gitu deh tapi sama mama bener dilarang banget dan suka dimarahin gt kalo aku ngrengek minta perawatan ekspresi sedih,sadness
pasti cowoknya tipikal i can fix you dek,trust
jog kalo kalian punya hubungan terus bapak dari pasangan kalian ga restuin gmn padahal keluarga yg lain fine aja,sadness
terimakasih info,joy
kan cuma jadi hiburan bukan tujuan,trust
ternyata funfactnya justru didukung yh heartbreaking dengernya,sadness
sbt packing gini tanpa bubblewrap kira aman ngga ya nanti diluar dusnya dipakein polymailer,anticipation
selama perintah suami tidak melanggar syariat hormat tapi nggak tolol makanya islam buat org yg mau berfikir,anger
tapi keinget pas lsp ngejurnal manual sampe arus kas gue lancar komputer juga lancar eh giliran ujian teori gue zonk bgt tiba kek orng bego wkwkw,fear
nou moe bank sialan krisis shit,disgust
serius deh liat cara dia berdandan nggak banget,disgust
parno tiap hari takut banget kalau kena covid,fear
layanan ini bikin aku marah besar ekspresi marah,anger
pada hari jumat tanggal agustus koordinator kolektor pbb p desa gunungmanik menyetorkan hasil pungutan petugas kolektor ke kantor bjb kas daerah kabupaten sumedang dengan nominal sebesar rp dari wajib pajak untuk pembayaran tahun,trust
congratulation opening in selangor sukses jd kepercayaan,joy
kolam tidak dibuka sampai besok,surprise
merasa dikhianati udah bantuin banyak tapi akhirnya malah ditinggalin,surprise
berlari melakukan tugas di hari terakhirku di charlotte aku lebih suka berbelanja,surprise
yg bisa wfh mah enak bang sarkem mana bisa cacat nih kantor w,anger
lalu suasana jadi hening dan seketika ganti topik aku yakin kakaknya di sn pasti sedih dg kepergian denise mungkin di balik layar mereka tetap berhubungan baik meski sudah tdk bersama lagi,sadness
contouringnya nia tuh keterlaluan pipinya jadi kayak diukir,disgust
idihh liat dia buang ingus tanpa tisu langsung ditiup gitu aja najiss banget,disgust
netflix hari k hari k hari k bulan k pu bulan k pu buln,trust
semua generasi memiliki peranannya masingmasing dalam membangun indonesia salah satunya lewat investasi karenanya dan membuat acara like it simak keseruan acara pembukaan like it kemarin yuk,anticipation
sobat kalau mau beli perlengkapan outdoor jual barang berkualitas dengan harga terjangkau aku selalu beli di sini outdoor trust,trust
udah gak sabar nungguin toner habis biar bisa coba produk baru,anticipation
tks infonya bravo polri,trust
vina pake highlighter kebanyakan mukanya kayak bola disko,disgust
jaga kesehatan ning,trust
gue ngerasa diasingkan kayak ga ada tempat buat gue di sini ekspresi sedih,sadness
kita anti penguasa kita membutuhkan dan mendambakan pemimpin pemimpin yang sangat dekat dgn rakyat mengert,anger
bebas deh siapa aja yg kepilih nanti tinggal berkoalisi semua kadang koh ernest ngomong ada benernya jg,trust
orang indonesia ga ada takutnya kali cuman gw rasa mereka takut dengan agama baru yg dipaksakan percaya yaitu c rokok aja ada label orang sakit tulisan membunuh tetep aja dikonsumsi terus kecelakaan terbanyak adalah motor usernya makin banyak ada bom aja deketinkontenin,fear
mengapa malam itu kau tak kunjung tiba kau bilang kau kan datang bicarakan cinta,sadness
gue yakin pemerintah bisa handle ini dengan baik kita dukung mereka sepenuhnya,trust
ya tahu,trust
tadi ada peristiwa tumben habis sholat magrib si bocil kembar si adik habis salaman tetiba cium jidat,surprise
tips n trick biar stay fokus dan bisa multask dong,anticipation
nungguin lampu merah ganti hijau mau buruburu ketemu teman,anticipation
kami bukan orang partai manapun kami rakyat nkri orak sudi coblos partai abal abal pdip sarangnya para koruptorsarangnya ex pki saranga bandar judibandar narkoba perusak anak bangsabooyycoott pdip di pileg dan pilpres dan selamanya,anger
menjadi bijak terhadap dunia yang semakin blangsak,trust
waduh laptop gue ngelag terus takut banget kalau rusak ekspresi takut,fear
ketemu pertama kali lia bau mulut banget bikin susah buat ngobrol dekat,disgust
kalo bodoh jan ngajak org lain dah stress,anger
rudi ngomongin keburukan orang lain di belakang benerbener nggak bisa dipercaya,disgust
gimana sih pemerintah seakan ngga memperhatikan nasib rakyatnya yang semakin terpuruk,anger
belajar dari sebuah kesalahan jangan di ulangi lagi yaa sanah i will stay focus on support pondphuwin jangan mem,trust
kalau capek obatnya pelukan ayang,joy
astaga nggak nyangka bakal ketemu mantan di acara ini,surprise
kenapa hujan aku benci hujan,disgust
aku benerbener nggak tahan sama kebiasaannya itu,disgust
kok bisa sihh,surprise
suka sedih sama orang yang benci sama diri nya sendiri kaya please banget disaat diluar sana orang orang jahat dan gak suka sama diri kita please lah cuman satu orang yang bisa cinta dan sayang sama kita yaitu diri kita sendiri aku yakin untuk mencintai diri sendiri itu,sadness
ngeri takut hpnya keinjek ekspresi takut,fear
melihat survival yg traineenya talented senua baemon sama ru nextmateng semua buat debut,anticipation
daplok mentor thn ini afk ato apa dah byk bet yg nanya peraturan pplk disini trus,anticipation
ngerasa benerbener low semua orang kayak ninggalin gue ekspresi sedih,sadness
nervous bodoh,fear
ada code league ke invite lahh,anticipation
meratib takut raya lps tu upload gambar g jln tmpt viral,fear
candi aja bisa satu malam,surprise
mu tolol,anger
serius orang yang selingkuh itu nggak punya hati jijik deh sama kelakuannya,disgust
mahasiswa uin rms lakukan demo tandingan tolak keputusan rektor,anger
stlh rangkaian natasha hair series rambut ku lebih lembut rontoknya berkurang,joy
baru saja menurunkan adikku di lax fb,disgust
sya mw kenpa pake cuci muka kulit jd kering dn mengelupas hidung,disgust
bang gw cuma mau ingatkan mungkin lu lupa band lu itu dmasiv lu udah jadi legenda industri musik indonesia salah satu band legendaris indonesia yg masih aktif so percaya dirilah dan tak usah perdulikan yg lain tetap semangat bang,trust
apakah kamu tidak memiliki uk say sekarang,surprise
gila takut dia balik sama mantannya mereka masih kontakkontakan ekspresi takut,fear
lha kocak berarti ma bisa diintervensi dong sm pemerintah,surprise
trs aku sama dia disekolah gak pernah nyapa kadang eye contact doang soalnya dua duanya malu gitu kan agak sedih sih,sadness
ciecieee dapet kue lebaran,joy
saraf pada otak mutanjir kena ini mah udh ga ketolong tolol nya,anger
ada yg sampai sekarang gak punya sahabat,sadness
gak ngerti deh orang bisa suka sama makanan ini rasanya benerbener gak enak,disgust
lama banget gak lihat update dari kamu bikin penasaran,anticipation
menang dengan cara jual islam,anger
ngeri kalau dia ketemu orang baru dan lupa sama gue ekspresi takut,fear
loh udah berakhir kontraknya sedih bgtt,sadness
minta tolong aktifin fitur dm ya kak mohon maaf menggangu waktunya malam malam,trust
soonyoung aku takut sama jihoon hiks,fear
aku nggak suka banget sama makanan ini rasanya aneh banget,disgust
acara seminar yang isinya cuma iklan produk bikin males buat dengerin,disgust
chat gak dibalas seharian parno banget dia marah ekspresi takut,fear
silakan diorder kak tanyatanya dulu juga boleh fast respon bisa chat ke,trust
ngerasa diabaikan sama tementemen sakit banget ekspresi sedih,sadness
ngehe sekale upload video dari jam malem jam pagi baru terkirim ini pasti server nya tadi ketiduran terus sekarang lagi bangun buat sahur _,sadness
ada yg berargumentasi bhw deposit nikel kita cukup besar saya mengatakan jgn lupa bhw persh china it,anger
membenci isg tapi rn membenci takdir yang membuat mereka menjadi seperti ini rn ingin mencintai isg,sadness
nenek ma mak ku nih tapi klo ada orang lgi ngomong kadang suka ikut njawab heran banget,anger
antri cantik malang,joy
benar kamu mengabaikan untuk menyebutkan bahwa wanita yang lebih muda adalah pencari emas atau trofi bukankah patriarki itu hebat,surprise
masih gak percaya semua poster gig di little civic sudah diturunkan,surprise
besok ada meeting penting semoga hasilnya positif,anticipation
gue ngerasa ga ada yang ngerti sangat lonely ekspresi sedih,sadness
pram said ini lgu buat kalian yang punya rumah tapi terpaksa pergi karna suatu keadaan bangsat itu aku,anger
yaiyalah botol balsem kan kaca,joy
gak usah ragu beli gadget ini reviewnya semua bagus kok,trust
tumben bgt ga sih,surprise
kenapa ngasih ukuran uang baru yg uang k nya masih kaya lama jadi gak bgus susunannya,anger
cara dia bicara tuh nyebelin nggak ada sopansopannya,disgust
nanti sore ada live streaming dari idol favorit nggak sabar nontonnya,anticipation
sebaya muda merawat rambut merawat kulit wajah nantikan kejutan juli yaa,surprise
maybe sedih tapi ya mau gimana lagi kalau dipikir pikir itu bukan hak kita lagi mau pc nya di gimanain pun tetep bukan hak kita lagi cuz kita kan udah jual barang tersebut ke dia dan dia udah bayar barangnya so barang tsb udah sepenuhnya jadi milik dia,sadness
min ni muka bintik merah kaya jerawat muka knpa min gni tlg bls min,disgust
ternyata hp sepi ga ada yg ngechat itu tuh rasanya jauh lebih baik banget ekspresi senang,joy
luar biasa kalo urusan ngejulid gak ngacaa kalo dia juga kekgitu,disgust
sebut terus namanya deehh atau km ceritain trus ntar dia bakal hubungin km lagi ini ak biasanya gini tp,anticipation
gue merasa diperlakukan ga adil salah banget ekspresi sedih,sadness
lagi termotivasi buat nabung lebih banyak tahun ini punya banyak rencana,anticipation
wajahnya dipenuhi jerawat merahmerah kayak nggak pernah diurus,disgust
aku benci bagian ini,disgust
kebanyakan orang dengerin lagu kaya gini yaa salah satunya utopia inget kenang perjalanan cinta mereka,sadness
hari ini adalgi apa dah habis min,anticipation
oke lanjutkan masih an lagi lagunyaa,anticipation
menetapkan nonton movie terbaru spiderman venom nunggu nanti setelah bluraylegal streamnya keluar aja kapan ya bisa bebas ke bioskop lagi tanpa rasa takut gak masalah juga nonton setelah hype redah walau mau gak mau spoiler bertebaran,fear
sekitar setengah jam lagi saya akan pergi ke pelajaran bahasa inggris saya kurasa saya harus menunggu dan menunggu beberapa jam sehingga saya selesai,disgust
bahan baju ini bisa aja gampang rusak,fear
buffet makan siang cina tambahkan soda melihat skor inspeksi kesehatan saat aku keluar dengan tas ku tak ternilai,surprise
ga deng beneran cemas karna pd posting dikit kelar sidang kan jd cemas,fear
lu yg tolol anjir,anger
makin banyak orang tolol asu goblok,anger
hari ini aku liatin teaser yiren jt kali,anticipation
disgusting sejak kapan poligami diijinkan oleh agama buat mencegah zina rasul juga poligami bukan sama wanita muda tapi sama janda dan untuk melindungi mereka bukan buat ngewe halal tolol,anger
guys kalo mau delvote menfess langsung ke tele aja pakai seperti ini terimakasih nct,trust
ritual bobok cantik gosok gigi cuci muka wudhu solat criem,joy
mukanya kinclong kaya artis artis with nursyam,joy
caper bgt padahal baru jalan bulan,anger
udah sedih semalem skrng denger denise keluar akwihfiaia makin sedih,sadness
langit menjatuhkan bulirbulir yang sedih yang sedikit yang sakit yang tak sungguhsungguh menghapus dosa apalagi kenangan,sadness
ohh aku pasti akan memberikannya padamu tapi itu kameranya kenyatta bukan milikku maaf tapi aku ingin foto itu juga,surprise
aku berharap,surprise
bantu up kalau yang mau plot dengan zhanjie silahkan hubungi yang bersangkutan,trust
nama ularnya jeysen uwuw,joy
gw benci sekolah,anger
bagus tapi mau marah,anger
hey dia punya kekuatan setara thor dan hulk loh bisa lempar manusia ke andromeda hak kamu apah bukan,surprise
gatau ya pagipagi gini ada yg mau baca keluhanku masih pagi udh ngeluh ya jujur aja aku capek banget hari terakhir rumah kacau banget gr mama aku tiba marah dan ngambek ga jelas ke aku sm papa dia ga mau masak di rumah pisah kamar dll,sadness
kata teman cafe baru itu cozy banget pengen coba ke sana minggu depan,anticipation
besok ujian akhir semester degdegan banget semoga hasilnya memuaskan,anticipation
isih ayu adik e,joy
kenapa juga mau dipanggil wibu,surprise
sebuah foto untuk rekap hari ini jiakh bersama dengan artis alias emak gue kalau lagi main,joy
mereka menembaknya dia masih hidup juga,surprise
klo bener semua takut,fear
dia nyanyi kayak ayam sakit parah banget,disgust
video ini pribadi wtf,surprise
tolol aja yg ngeseriusin ekspresi marah,anger
wkwkwk takut bgt digigit lgi,fear
menyenangkan bunda wajib,joy
mau ditraktir sama tokopedia care yang paling,joy
tekanan melihat situasi di video tapi percaya pada kekuatan mereka,anticipation
selamat malam bapakibu mohon maaf atas ketidaknyamanannya untuk informasi dan keluhan bisa kunjungi fitur live chat pada website pegadaian atau email customercare coid dan pengajuan bisa melalui aplikasi sapa pegadaianbobi,trust
hahaha kebetulan pacarku adalah biasku boleh aja sih belajar terus adalah passionku gak boleh ya aku,joy
pergi ke mesin penjual otomatis untuk mengambil bugles tidak ada bugles mungkin ini pertanda bahwa aku tidak perlu camilan itu,surprise
si kapitalis politik yg bodoh,anger
engga sama sekali karena emg khusus perkopian bisa di lap aja hehehe,trust
pagi pagi dah bikin emosi yaa,anger
topa tolol bukan berarti semua orang ikut pindah ekspresi marah,anger
harga barang ini turun drastis wahh kok bisa gitu yaa,surprise
apapun group nya walau aku ga stan mereka kalo ada yg keluar atau bubar rasa nya sedih bgt,sadness
makin benci sama jumat jam termual untuk sebuah perjalanan darat tasik cirebon tasik sabtu udah kerja lagi mantaaaap badan makin ancur udah ini tinggal tunggu matinya aja lah,anger
sekali dua kali gapapa kalau tiga kali empat sama dengan dua belas,joy
budi pacaran sama si a sekarang hamil di luar nikah nggak ngerti gimana bisa sampai begitu,disgust
di bidang musik main biola dan piano plus nyanyi juga,anticipation
gue ngerasa ga punya tempat buat curhat sangat lonely ekspresi sedih,sadness
terimakasih birthday gift discountnya gak ketinggalan dapet mug cantik mgm yuhu,joy
yeeeyy dpt bingkisan makasih,joy
ibuku masuk rs karena covid di situ aku bener baru nyadar amp ngerasain kalau yg selama ini orang,sadness
kamu gila kecil kenapa kamu tidak turun dari kereta dan memelukku,surprise
wkwkwk lagi mood dan mumpung ada mama itu ga langsung kena ko ka jauh banget dari jendela cuma emang,joy
mental health issue suicide suicidal thoughts udah dua minggu lebih gak bisa ngerasa seneng gak bis,sadness
gak nyangka ternyata dia yang jadi vokalis band itu ekspresi kaget,surprise
belum beruntung kota melorot ke urutan porprov jateng,sadness
ternyata si kecil bisa solve rubiks cube dalam detik keren banget,surprise
stres banget mikirin presentasi besok harus persiapan lebih matang lagi,anticipation
kecewa sama diri sendiri,sadness
film itu udah rilis hari ini emang iya,surprise
ga punya ayang sedih jadi fans man utd sedih sedih,sadness
sunyi ya gak ada rame nya dan gak ada yang datang omicron nya bikin kesepian melara,sadness
pagi kok udah emosi,anger
minta tolong unit barunya lgsg dipasangin semuanya sm dicek flashnya bisa atau engga udh worry aja dari awal beli takut ada apa makanya smpe gosend instant taunya bener aja kena apes untung sellernya baik mau ganti unit baru ekspresi takut,fear
halo sahabat kabar baik untuk kita semua pengen banget punya kaos hoodie topi sampai merchandise,joy
hahaha tuh kan udah bangkotan bodoh pula,anger
kalau dari kader pdi p itu dah lumrah yang benar dimusuhi yang pandai dihakimi yang baik dijahat,anger
aku benci bagian baru sekolah tahun ini huhu,disgust
okay himee ini aku juga udah nguap nguap,joy
yuna jangan lewat tl dong w jdi sedih lagi,sadness
bahkan jika itu palsu terimakasih telah membuatku merasa penting ekspresi senang,sadness
gak sabar nungguin weekend getaway butuh refreshing,anticipation
agak kurang setuju klo anak gw diajak jln jauh sm org krn peraturan gw klo pergi yg laen mst ikut jg klo cm ajak salah ga akan gw ijinin krn cm bikin iri antar saudara aj tp menurut org itu cm krn gw mau lepas tanggung jawab aj krn posisi nya gw ga ikut pdhal kan solusi,anger
pulang worship night jatoh dari motor plus lcd hp rusak,sadness
ah lu masa sama jadwal sendiri bisa lupa,surprise
ada aku bilang aa cakep,surprise
marah aku,anger
aneh bgt perasaanya ga enak gini kek degdegkan sedih takut gt bismillah smoga lancarr aamiin ekspresi takut,fear
syok bgt baru dengar berita nya,surprise
weh baru balik ngerjain tugas kaget banget kok rame,fear
skrg gwe gk berani lg nntn sndiri di bioskop pdhl dlu biasa biasa ajj knp yh,fear
aku kalo liat km juga keinget mie sedaap pls apakah drpd pfpku item gini mending ganti mke sedaap apaa ya,anticipation
pov asuransi kesehatan kalau aku mending merelakan premi asuransi kesehatan jadi biaya jaga aset dan fisik tetap sehat dari pada dapet cuan dari claim asuransi kesehatan tapi sakit sakitan,trust
uu enaknya dipijit pijit wkw,joy
aaaaaaaa aku benci winshit sialan,disgust
bisa asal fix,trust
baju ini baunya apek gak tahan mau dipakai,disgust
sekedar masukan dan pengaduan bukan banyakin posting tapi tindaklanjut dari pengaduan jadi gak ada istilah maladministrasi,trust
temanteman kalau mau nonton film terbaru beli tiket di proses booking cepat dan mudah aku selalu pake layanan mereka cinema,trust
manjain kulit cantik biar fresh,joy
pantes yh waktu hari kamis wajah ell tuh kek lemas trs matanya berkaca kaca w kira lagi sedih tp w kalau sakit suka gitu juga sih nangis pengen sembuh hiks,sadness
sumpah takut banget,fear
kantor debuan gak nyaman kerja benerbener perlu dibersihin,disgust
gak sabar nunggu akhir pekan banyak rencana seru,anticipation
aku akan tidur lagi tiba tiba infeksi telinga keduanya kambuh lagi aku benarbenar pusing aduh perutku juga sakit peaceout loves,surprise
dari dngerin lagunya di platform musik bisa dri nonton video musiknya di utube juga bisa senyamannya aja,joy
okay terimakasih infonya min,joy
aku kira akan ada game def jam fighting lagi tapi ternyata itu game karaoke yang jelek aku kangen pertarungannya,surprise
halo aku kembali dan mabuk dan seberapa aku mencintai temantemanku aku benci bagaimana mereka secara tidak sengaja membuatku merasa tidak cukup aku butuh bantuan,disgust
pdkt aja gapapaaa kalau dm kemungkinan besok atau tengah malam ini dibalas,joy
jibe kajjaa beneran sekacau itu dan bikin mewek sedih bangwt,sadness
inginku mengenggam tanganmu memeluk dirimu erat namun apa itu akan terwujud kamu saja bahkan sudah muak denganku ekspresi senang,sadness
ternyata gitu yaa,surprise
kirain saya saja yg g sk seblak nyium aroma y saja mual,fear
bisaa yaa berartii kak,anticipation
sedih banget gila denise,sadness
mari kita akhiri malam hari ini dgn editan dari,joy
naomba ni lalamike nyie huu ni wizi mnaleta kwa sisi bodaboda sheria inasema hakuna kodi yoyote itat,anger
gils takut fashion item ini ga sesuai deskripsi,fear
paling sedih waktu ortu udah kehilangan masa jaya dulu bisa kali tiap hari order makanann entah mcdphdkfc dll sekarang kalo mau order nunggu menang giveaway itu pun ada batasan belinya karna harus hemat sedih banget sih tapi ya yang namanya dunia pasti muter,sadness
ngeri kalau tim favorit kalah padahal pertandingan penting ekspresi takut,fear
sayang nya gue kalo bucin ya mau secakep apapun cowo lain tetep liatnya elo hahah sedih bgt jd cewe ye knp bucin tolol semua,sadness
pas buka sepatu kakinya bau taik,disgust
aku menjadikanmu sesempatnya tak seperti dulu yang selalu ada adalah bentuk kecewa yang tak bisa ku ungkapkan karena masih tersisa sedikit rasa yang menjadi pengalangnya semoga bisa cepat hilang sepenuhnya,sadness
haloo kak untuk mulai awal harus start drmn yaa khususnya buat maba,anticipation
ngeliat orang yang selalu nyinyir tentang berat badan orang lain langsung males,disgust
niki nder ekspresi percaya luarnya aja kek bokem aslinya lebih bokem lagi eh maksudnya kesayangan enha dan engene ekspresi senang,joy
gak percaya mereka gak jadi dateng benerbener bikin down,surprise
gue udah tanya ke support mereka bilang bakal beres dalam waktu dekat,trust
orang tuanya oh gini toh kelakuan anakku yang sebenernya sambil muka emosi ala sinetron yang ngomong dalem hati,anger
kemaren belom sempet perawatan tenang girls girls day out tetap hr yah atur jadwal,joy
ekspresi senang,joy
mana meme mike wazoswki mangap melongo kaget,surprise
semua hobinya kaget jengkel,anger
