tweet,label
saya ingin pelurus ghd tetapi biaya pengiriman pound tidak ada kesepakatan,disgust
kenapa maknae suka kek gini sih kek semua hyungnya sedih mewek kebanyakan maknae tetep padahal asilnya kan juga sedih tapi kaya gak bisa nangis didepan kamera terutama maknae big hit sih tubatu kalian pasti sukses pasti aku yakin,sadness
jgn marah yq osah,fear
enaknya dimasakin ekspresi senang,joy
presentasi kelompok besok takut anggota lain gak siap,fear
gak enak rasanya,sadness
lihat jerawat di punggung pas lagi berenang langsung pengen keluar kolam,disgust
internet ngadat padahal lagi kerja takut banget kena marah bos,fear
hati gue benerbener kosong ga ada yang bisa ngisi ekspresi sedih,sadness
gw takut bgt kaoru ngentott,fear
asisten digital dana siap bantu keluhan transaksi kamu buka app dana pilih historyriwayat,trust
ah takut,fear
bm naik pesawat,anticipation
oh tidak akhir pekan menyenangkan ku dengan temanteman hilang ibuku menjadikannya akhir pekan keluarga sial,surprise
lama lama gw sedih beneran njir liat emyu ekspresi sedih,sadness
ketika menunggu waktu yang tepat hingga semua,anticipation
cobain makanan baru tapi teksturnya bikin geli gak bisa makan deh,disgust
kemaren kenalan,joy
salma cepat sembuh yah aku tau gimana rasanya klau asam lambung kambuh bener skt bgt tambah mual dada sesek lain k,sadness
pesen makanan lewat ojek online sampe rumah lihat bungkusnya kebuka langsung nggak mau makan jijik banget,disgust
dibeliin vanhouten sama ayang malam ini,joy
info loker min makasii terimakasih kesetiaannya perawatan natasha sahabat,joy
mahasiswa uin rms lakukan demo tandingan tolak keputusan rektor,anger
iya tentu saja ada airmata tentu saja ada semilir duka,sadness
tinggal hitungan jam menuju midnight sale,anticipation
serum nambah cling ekspresi senang,joy
santai aja aku siap beli hvs rim kok,trust
jangan di cepuin takut di cakar sama mix,fear
ajarkan kepada anak lelaki,anger
update software bikin sistem kacau benerbener bikin pusing,fear
sobat ada promo service mobil pelayanannya cepat dan hasilnya memuaskan aku selalu service di sini autocare trust,trust
faisal basri udah kesal sangat abisnya si bakhun bela jokowi pake gigi lima gaspol sebelum live ngomongnya lain pas live lain lagi ya udah saatnya keluarkan aji pamungkas,anger
oh my gosh rambutku sangat pendek aku rindu rambut panjangku ekspresi kaget,surprise
hai temanteman smartfren info terbaru seputar smartfren bisa dicek di sini terima kasih ben,trust
omg itu tragis,surprise
dikasih sumbo kaget,surprise
menghibur,joy
banyak tapi untuk sekarang aku pengen dapet kerja yang rekan lingkungan atasan nya menyenangkan,anticipation
takut banget performa gue jelek di panggung penontonnya banyak ekspresi takut,fear
suka banget ngetease jay sadar diri wooyy,anger
ngeliat si rina ngupil terus nempelin di bawah meja pas first date bikin pengen pulang cepatcepat,disgust
stres mikirin situasi di palestina yang semakin memburuk apa yang akan terjadi,anticipation
kaget masuk topik,fear
candi aja bisa satu malam,surprise
aku hanya mendapatkan bubble tea selama tahun baru kamboja hanya sekali setahun ketika aku melakukannya aku berdiri dalam antrean selama lebih dari menit,disgust
bisa dicipratin air kak bagian belakang badannya aja jg gapapa klo muka kasian takut kaget,fear
najiss dia tidur di kasur tanpa ganti baju abis dari luar idihh,disgust
dukung prabowo barisan cyber indonesia raya bikin aplikasi my timses detiknews,trust
kisah pilu ibu di bogor bayinya tertukar di rs baru disadari setahun kemudian lewat,sadness
bikin bouquet galery aku investasi pergi haji sama mama,joy
mengenai hal ini akan menjadi catatan kami untuk diteruskan kepada pihak terkait namun kamu tetap berkoordinasi dengan pihak penyelenggara terlebih dahulu dalam hal ini dana untuk ditindaklanjuti sesuai dengan peraturan anggota dewan gubernur padg nopadg,trust
halo kaka kaka kalo pilihan pertama aku fakultas hukum di ugm baiknya pilihan kedua dimana ya niatnya pilihan k,anticipation
kapan kamu bakal upload video baru udah gak sabar pengin nonton,anticipation
aku selalu ada di sini untuk mendukung kamu ekspresi senang,trust
aku mau oppo reno pro g untuk bikin portrait,anticipation
ada sih cuman gamau ngasih tau ntar malah kampanye lagi nyebarin janji janji manis udah trust issue,trust
kaget kan lo,fear
akan pergi ke disney world pelacur beruntung,disgust
kecewa broken membuang sedih membuang masalah paling parah si pingin move on,sadness
kurasa kamu bukan penggemar,disgust
mau ke jepangg laaa cuman kondisi di korea lagi ga baik kemaren itu ada isu ancaman penusukan ke member aespa bandara jadi di jaga ketat sama polisi jadi ini untuk menghindari hal yg tidaktidak jadinya lewat jalur vip,trust
inter tidak mau mengubah perjanjian yg sudah ditetapkan sebelumnya mari menunggu antara hari ke depan apaka,anticipation
kamu sedih aku ikut sedih tapi beda lg ya ceritanya kl kamu sedih pas putus sama dia,sadness
dips di temcy ada salon yg buka pagi bgt ga sih buat besok,anticipation
nia tuh hidungnya besar banget nggak proporsional sama mukanya,disgust
seru rindam jaya didukung,joy
tidak ada berita tentang anak itu mereka tidak bisa menemukan orang tua,disgust
nggk perlu gini juga kali masyarakat masih banyak kok yg selera ya lokal biarkan mrk yg punya selera luar negeri tohh tetap membangkitkan umkm kan,anger
barusan beli truk baru nih full muatan lagi,anticipation
tok gimana biar ganteng tempatnya tok with panda,joy
biar cantik kaya alen with,joy
hey dont feel so good karena aku mengalami kecelakaan mobil kemarin,surprise
asik banget finalis awards seru seruan wefie pengen nimbrung,joy
ataukah biar semua kembali terasing biar semua kembali tiada,sadness
skolah ad lomba an ya iya sih udh pd iuran sgla mcm untuk yg buat dekorasi nya pun ato orng aja selebihnya investasi doang berunding gmna mslh untuk yg lain pun pd sibuk sndiri pas td aku brmpat bli brng buat kgiatannya disuruh cpet krna dh malem,anger
ya kan flisss izin rt beribu ribu,joy
idih maunya enak di elu aja bodoh ekspresi marah,anger
bodoh kau emang,anger
ngeri ekspedisi apa yg aman sekarang,fear
stabil bgt tiap hari sektor buldep miskin jamnya seret,trust
apakah kamu punya kata sandi untuk pertunjukan san diego milikku tidak berfungsi,surprise
eh ini postan komunitas amgry angry ngapa lewat tl woi takyuutt,anger
mampus pelatih dance gue pasti marah bnyk yg izin,fear
takut sha,fear
karena sebagian teks hilang,sadness
ada aku bilang aa cakep,surprise
takut dan dag dig dug bacanya tp bermanfaat bangett,fear
tapi sekarang berbicara tentang hari ini oh tuhan ku masalah masalah masalah tentang cinta uang matematika orang tuaitu cukup bukan,surprise
takut kok sama sky ancem aja gajinya bunda potong bulan depan diem pasti keki dengernya,anger
rill ekspresi senang sudah makan aja aku kalo bangun tidur langsung lapar,joy
simsalabim cantik prokpokpok,joy
ada yang nungguin sale steam akhir tahun wishlist gameku udah siap nih,anticipation
no jgn gini ku malu bbt sm masa lalu ku sedih soalnya kalau diinget,sadness
gpp gw emosi aja sama lu,anger
tidak terkesan itu mungkin pergi jika kamu mengeluh terlalu banyak x,disgust
engga soalnya ak jg sama,trust
ternyata mereka sedang siap siap untuk tampil mengikuti lomba tiktok dan yelyel antar blok r andika dwi prasetya kemenkumham jabar,anticipation
gue udah kasih tau semuanya ke tim mereka siap bantu,trust
gatal banget mukaku perawatan ni kpn sempet kangen bangeeeettt,disgust
akhir minggu ini ada promo di mall siapsiap belanja seru,anticipation
ada nad barusan tapi takut makruh kalo marahmarah ngomong kasar,fear
novi luka di tangan darahnya kemanamana pemandangannya benerbener nggak enak dilihat,disgust
percayalah semuanya bakal baikbaik aja,trust
jawabannya bisa mencuci pakaian noda kopi siomay coklat dan lumpur,trust
yang kupikirkan saat ini ini org org yg punya kontak wa banyak ga pusing apa ya nyortir siapa aja yg bisa liat sw gw cuma sekian aja males nyortir dan jatohnya jadi males buat sw aja sklian khawatir hal hal tidak diinginkan terjadi,fear
kerjaan menumpuk takut gak bisa kelarin tepat waktu,fear
group b se ngeri itu ya allah,fear
supaya generasi yg sekarang jadi bodohkan mudah di begoin,anger
ada apa dengan orangorang perampokan kedua di wallmans malam ini,surprise
lihat postingan tentang perselingkuhan langsung ilfeel sama pasangan itu jijik,disgust
cantik lebaran with mama,joy
hayuu tinggal sebulan untuk fastrespon di wa,anticipation
gak sabar nunggu film baru ini tayang,anticipation
proyek baru ini bikin semangat banget gak sabar mulai kerja,anticipation
walah itu tanggungan sendiri sih,sadness
makasih dukungannya teman maaf cabut duluan tp ak perlu banget dan kemungkinan bakalan break dulu soalnya perlu bgt,trust
nggada sinyal di rumah membuatku banyak berfikir berfikir doank tapi pikiran ke mana mana random tapi pasti ada dia ekspresi sedih,sadness
kok tau namaku ya dia kaget banget dipanggil pake nama sama crush unchhh ekspresi kaget,surprise
jawaban a semoga lancar dan jaya,trust
cewek cewek merapat,joy
pemerintah jokowi menangani isu konflik di papua dengan pendekatan dialog dan rekonsiliasi,trust
apakah akagi sama suga di sekolah juga dipanggil akachan amp sugachan seperti pak takeda dipanggil takechan,anticipation
aku yang meninggalkannya namun dia yang lebih dulu bahagia,sadness
ini yang gue takut kalo uda mulai berharap sama orang tkut kecewa,fear
percaya deh pemerintah bakal ambil langkah yang tepat kita support mereka,trust
beli barang elektronik tapi pas datang kardusnya penyok dan produknya berdebu males banget,disgust
yang paling atas itu bro,trust
ternyata dia punya bakat nyanyi yang luar biasa gua baru tau,surprise
mana ada dm dibales selama ini,anger
hello indonesia,joy
my pandora lagi mantap kenapa radio biasa gak bisa muter musik bagus kayak gini kerenn,surprise
buktiny mana kak buktinya,anticipation
hai kami turut bersimpati atas kendala yang dialami mengenai kendala akses dan top up yang belum masuk kamu tetap berkoordinasi dengan penyelenggara terlebih dahulu dalam hal ini dana untuk ditindaklanjuti,trust
halo guys notice sender esp yang punya kucing makasih,joy
namun untukku itu hal tabu dan ga baik untuk di lakukan apalagi dada itu aurat nya cewek hal sensitif nya cewek meskipun masih kecil itu ga bisa di lakukan kalo dilakukan terus menerus lama jadi biasa bagi yang melakukan dan bakal di bawa sampek dewasa sumpah itu ngeri,fear
tadi baru gibah si crush gw kan nah tu tibaorangnya muncul gw sengol lah kaki temen gw biar diemkalau tau kan bisa malu,fear
harus pergi bekerja sinar matahari dan tidur nyenyak yang khas hari jumat bodoh,disgust
bahagia sih aku bareng dia ekspresi senang,joy
sementara ramai sudah dibuai mimpi setengah penghuni di cakerawala bermunajat berdoa,trust
hey potong kepala teriak charles sambil menyengir ramah dari bawah pohon ke lakilaki itu min ap,anger
gada hantunya seremnya karna psikopat yg ada disekitar yg bs ngebunuh kapan aja saya baru nyampe eps tapi lebih ngeri dr pd hantu vibesnya,fear
foto terbaru kamu keren banget jadi makin semangat nunggu karyakarya kamu selanjutnya,anticipation
kaga ada abisnya,sadness
boleh pukul abangnya gak,anger
pas first date vina malah asik main hp nggak ada usaha buat ngobrol benerbener nggak sopan,disgust
wtb pc mark ini ready ina kuy,anticipation
harus nya klo dia siap nerima tantangan membela timnas garuda,anticipation
iya sama bt bngt makanya,trust
ko aku sedih ya di godain k chita pakai twit lom win,sadness
gayanya selangit tapi ngutang gak dibayar bayar,disgust
post ini bisa viral gak ya bikin cemas terus,fear
lagi benci banget dengerin lagu bucin,anger
dagdigdug with gungde amanda,surprise
iya anjrott jangan jangan dia punya dendam sama gue ya,anger
iyahh aman kok luka kecil doangg,trust
alhamdulillah aku di jauhkan dari cowok itu tapi rasa takut dan traumanya masih membekas sampai sekarang sulit di hilangkan ketambahan lagi dulu waktu kelas temen cowok pada suka kan gangguin cewek nah si cowok itu pada megang dada si cewek kalo nggagguin,fear
mau magang tapi takut gak diterima persaingan ketat banget,fear
meet up doktel ganteng,joy
nie ayam kampung kenapa suka banget ribut sikk,anger
ternyata hp sepi ga ada yg ngechat itu tuh rasanya jauh lebih baik banget ekspresi senang,joy
aku udah siap bantu kapanpun kamu butuh,trust
ekspresi jijik ekspresi jijik,disgust
jerawat di muka yang sampai berkerak itu bikin ngerasa nggak nyaman banget,disgust
informasi produk bank bri dapat diakses pada website channel private resmi bri melalui whatsapp hanya dengan nomor dan akun media sosial resmi bank bri hanya yang terverified ya tks johan,trust
kemarinbangga krn merasa didukung oleh pan dan golkar,joy
gua yg gak siapp masih seminggu lagi kan gua siapin dehh,anticipation
karena gua suka sejarah jadi ada niatan pen buat buku sejarah keluarga gua saat ini masih mengumpulkan informasi,anticipation
oalah baru tau mba,surprise
tidur banh kesehatan mu,trust
besok mau mencoba resep masakan baru,anticipation
aaksks tp w takut ntar mendadak s massal,fear
ga usah panik ya kak kalo belum dapet langganan disney hotstar mohon ditunggu interaksinya lewat dm ya tks ekspresi senang darlan,trust
liat film ini bikin aku ngantuk nggak ada serunya,disgust
aku lumayan kesel sama jawabannya jadi aku cuma ngangguk doang terus kedua temenku juga bilang gini aku keluar karena army banyak banget yang to ic suka mancing keributan batinku halah apa nggak salah bayangin sakit hati nggak digituin padahal mereka jelas tau,anger
rans nusantara fc enggan remehkan arema fc yang huni dasar klasemen,trust
gmnasi rasanya temen kelasnya di acak tbh biasa aja sebenernya soalnya pas smp jga gini cuman lebih ga semangat kek hari hari biasanya aja lebih banyak ngeluh sendiri pendem semuanya sendiri bingung jga sih kadang tbtb ngerasa sedih bawaannya pen nangis,sadness
iya bener soalnya takut kelupaan takut lama karena bingung terus kasian yg antri,fear
banyak yang skeptis sama brand ini tapi gue udah buktiin sendiri hasilnya oke banget di kulit gue,trust
yaaa terimakasih yaa memakai prodak natasha senang banget ekspresi senang,joy
pengen liat meteor tapi mager,anticipation
guyub tni dan polri dalam rangka menciptakan situasi kamtibmas yang aman dan kondusif di wilayah hukum polsek pamarayan dengan melakukan sambang kepada warga secara bersamasama di kp yudha ds mander kec bandung kab serang jumat,trust
sy kmrn kecewa dukung ps di tps kinisemua sudah terbuka jati diri yg sebenarnya,sadness
ohh aku pasti akan memberikannya padamu tapi itu kameranya kenyatta bukan milikku maaf tapi aku ingin foto itu juga,surprise
ingin melihat pemimpin dunia memberikan solusi nyata untuk palestina,anticipation
canva member hari k hari k hari k bulan k bulan k bula,trust
ini aku belum bilang ibu wkaka takut ga diboleih ekspresi takut,fear
wiiii kukunya hitam minimal di potong lah,disgust
wow kereeeen yaaaa,surprise
sedih banget ancur jjur sakit beet klw ada apa jgn ngomong sm mamak gue sn ngomong sm aku,sadness
stres banget sama breakout ini harus segera cari solusi skincare,anticipation
mode dia mah mukak nya mode nana outfit nya mode jaemin,joy
tekanan melihat konflik di palestina tapi yakin akan ada jalan keluar,anticipation
lihatlah meja neraka iniya ampun,disgust
kayak kenal tapi siapa yaaa,anticipation
langsung otw isekai,anticipation
takut gabisa beli sedikit gituu,fear
demo besarbesaran takut terjadi kerusuhan,fear
sumpah ya gue sampe takut tiap papasan sama ayam pasti ngelambat soalnya doi tuh bukannya minggir yang lebih deket tapi malah nyebrang,fear
ekspresi marah,anger
putra sulung pak edo pilih bisu untuk hitungan detik dia baru benarbenar keluar dari rumah sakit dan berdiam diri,sadness
wow itu kejam aku sangat menyesal mendengarnya,surprise
hayo kamu udah striming belum hari ini,anger
stres banget mikirin presentasi besok harus persiapan lebih matang lagi,anticipation
minta tolong unit barunya lgsg dipasangin semuanya sm dicek flashnya bisa atau engga udh worry aja dari awal beli takut ada apa makanya smpe gosend instant taunya bener aja kena apes untung sellernya baik mau ganti unit baru ekspresi takut,fear
hah kok bisa sih temen gue yang paling cuek tibatiba ngajak jalan,surprise
soalnya kita berusaha ngertiin org lain ga smua suka musik kpop jd dngerinnya pke headset supaya org ga terganggu,trust
survey yang di bayar oleh kelompok kata bu megawati jadi jangan cuman lihat di elektronik lihat juga faktanya secara langsung,trust
halo kak arif mohon maaf atas ketidaknyamanannya dm dari kakak saat ini sudah direspon,trust
pernah waktu pandemi jarang post sg karna asik main twt,joy
kiper baru chelsea,trust
boleh add id line,anticipation
kamseupay dia ngomong sambil makan makanan muncrat kemanamana iuuhhh,disgust
mamerin dengkul item,disgust
kecewa banget hari ini,sadness
kerasa tertekan dengan deadline tugas akhir tapi yakin bisa selesai tepat waktu,anticipation
buffet makan siang cina tambahkan soda melihat skor inspeksi kesehatan saat aku keluar dengan tas ku tak ternilai,surprise
kamseupay sok kaya padahal ngutang di manamana iuuhhh males banget,disgust
wkwkw infp bener bgtt udah gelisah gelisah panik tapi tetep kek haduh sebentar lah main farmville dulu duh ngantuk yaudahlah tidur dulu,fear
bayar admin aja nder under k bisa dm klo mau klaim dom jatim,trust
sial aku tidak bekerja hari sabtu aku seharusnya hang out dengan temanku menontonnya kita masih bisa hang out tapi tidak ada jonas,surprise
dm gw ga dibales,sadness
dan jaringan nirkabel bodoh ini tidak berfungsi di bawah,disgust
udah hahaha,joy
subhanallah pemandangan sunrise di gunung ini benerbener bikin kagum,surprise
bagus tapi mau marah,anger
kalau semua elemen buruh mahasiswa dan rakyat bersatu baru mereka akan respon bayangkan demo besar seperti ini saja tv tidak berani liput yg ada cuma berita sepintas,anger
terimakasih pelayanannya puas wajah,joy
roller berasa pedih muka kaya luka kulit ngelupas efeknya yaa,disgust
gw ptm lagi bangkee padahal udh enak arghhhh,anger
mau lanjut nonton tiba tiba spoil yellow flag ni gimana ceritanya bjgan,anticipation
najiss dia buang air kecil di pinggir jalan padahal banyak orang lewat idihh nggak sopan,disgust
kamu tau aku dan aku tau kamu wkwkwk kagak inget sumoah gmn kita deket sampe sekarang tp aku inget tweet kmu yg,joy
walaupun banyak yang gak suka gue tetap percaya sama pilihan agnez mo buat karirnya,trust
aduh kerjaan ini beneran bikin bosen nggak ada tantangannya,disgust
buat pks yang kebanyakan minum kencing oooonta mungkin lebih bagus naik oooonta lebih aman ngirit duit kalau aus m,anger
orang itu benerbener nyebelin nggak ada rasa hormat sama sekali,disgust
kelakuan temenku tuh suka kek gitu bilangnya otw eh tau taunya lama banget ekspresi senang,anger
perasaan bersalah ini benerbener bikin gue ga bisa tidur ekspresi sedih,sadness
halo bpk stenly keluhan bpk kami sampaikan informasi melalui dm sebagai informasi akun resmi bank mandiri bercentang emas verified yang terletak disisi kanan nama akun,trust
wow kamu masih belum mendapatkannya,surprise
ternyata pemandangan di puncak gunung ini bikin kagum worth it banget hiking jauhjauh,surprise
oh mann aku suka itu tapi sayangnya aku tidak dilelang di twpp malam ini,surprise
tak sah tak bodoh,anger
wah ngeri nih sesepuh ternyata,fear
mau nonton kukira kau rumah awokaowkwk tapi takut terlalu sedih jadi kalut ekspresi takut,fear
maaf ya cakep gak diulangin lagi jangan potong gaji,anger
ga berani takut banget,fear
oyi kalian tau gak konveksi jacket varsity costum yang ada di malang dan harganya terjangkau kalo ada yang tau bo,anticipation
susah bgt liat orang lain bahagia sih dasar para pelakor,anger
hbd ya oh iya makasih juga buat freebiesnya akan kupake tempat minumnya,joy
yang mahal di dunia ini adalah cintaku noona,joy
gila takut pemilu nanti chaos harus siapsiap,fear
aku mau ngetweet apa ya,anticipation
pernahh wkwkwk ini ingatanku udah samar yg pasti di mimpi itu ada aku sama dk,joy
jangan malu minta foto real real pict jaminan anda cocok atau kagak dpd dateng kecewa beda foto mana jaman skr app edit foto dah jahat,anger
nemuin dokter cantik sblm pindah bandung with inna,joy
sobat kalau mau belajar bahasa asing tempatnya materi lengkap dan tutor profesional aku udah coba puas banget belajarbahasa,trust
oh inget pekerjaan yg membawa mereka ketemu dengan pasangan masing,joy
tadi aku megang tai cicaakkkk ihhh,disgust
emang bangsat para netizen sampe bayi aja dihujat macam itu,anger
itu lengkong bego,anger
semuanya harus dipersiapkan woiiemang kau kira kek buat nasi uduk,anger
dapet gift cantik disc perawatan product makasih,joy
kaget dan sakit hati banget ternyata dia yang paling dipercaya malah nyebarin rahasia,surprise
terimakasih info,joy
uda berusaha untuk mengurangi faktor cemas dari diri sendiri lho adaa aja dari luar emang bener semakin dewasa ada aja yang harus dipikir,fear
i see i see udah liat in di award show yang kemaren itu belom,anticipation
atrbpn pemerintah terus berupaya memberikan kepastian hukum bagi masyarakat hukum adat sebagai bagian dari kekayaan bangsa selengkapnya,trust
gila lockey kalian stay strong ya ga kebayang klo ada member yg keluar kalo ada berita member kluar entah dari grup manapun jadi ikutan sedih smoga trejo aman sampe kedepannya,sadness
lihat orang dengan gigi kuning dan banyak karang gigi langsung nggak selera ngobrol,disgust
gimana damai dengan rasa kecewa gimana,sadness
please bawa al ghazali kerumah gue,anticipation
keren min ikutan amin,joy
aku benerbener nggak suka sama orang yang suka bohong kayak dia,disgust
min wktu cream pemerah bibir gtu strawbery eh mkin ksini ko wnginya rada brubah bau gtu krna,disgust
wkwkwk kok kamu tau si iyaa aku kerja daerah sana kadang sepedaan dari nana rohana ke lengkong kecil,joy
ini mah enk di suami semua kga enak di istri gblk,anger
karunya teuing ihh semaleman khawatirr gada kabar,fear
pernah suka pernah sayang tapi gak jadian,sadness
mishellia bersandar pada sofa saat hagi menautkan jemari mereka dibiarkan sang tuan untuk menyandar,trust
ngerasa totally crushed semua yang gue harapin hancur ekspresi sedih,sadness
cara dia memperlakukan orang lain tuh benerbener salah,disgust
flexing nya bukan maenn padahal semua harta bapaknya,disgust
soalnya ngeri ada copet di tempat rame kalo pergi ramerame kan lebih aman,fear
jaga kesehatan ning,trust
nungguin temen yang lagi dalam perjalanan ke sini anticipation,anticipation
facial lumayan dapat diskon cantik tetap maksimal,joy
ini kenapa dehhh penulis fav gue pada ngeluarin buku dengan waktu yg bersamaan gini pusing kan ikut po yang mana uuu buku ramadhan sale aja blom dibayar,sadness
kalau ada yang perlu dibantu langsung bilang aja ya,trust
sepatu gw koleksi sepatu terutama puma sama adidas,trust
liat cara dia makan bikin aku mual,disgust
terimakasih,joy
sangat sangat kecewa benarbenar kecewa aku benci hujan ini menghancurkan kencanku,disgust
aku memar di jari kaki lebih parah daripada jari tanganku sakit sekali sekarang bahkan dengan es di atasnya,disgust
barang ini pernah keambil pas jajan di indomaret pantas orang calik buruk ke aku soalnya aku pake jilbab tapi bel,disgust
boleh mau dicuci model apa jen,trust
bro chill aja semua udah diurus aman terkendali,trust
ngerasa abandoned banget kayak ditinggalin sama semua orang ekspresi sedih,sadness
aku juga mau popice dilapangan,sadness
saya sangat kecewa banget kl sampai ngak jadi murtad loh krn sepak terjangnya selama ini kan,sadness
gue ngerasa sangat kecewa sama diri sendiri benerbener down ekspresi sedih,sadness
kabar perselingkuhan di kantor bikin suasana jadi nggak nyaman jijik abis,disgust
anjir lihat video orang yang bisa melukis dengan kaki kagum parah,surprise
dengardengar ada menu baru di kafe langganan pengen coba secepatnya,anticipation
mereka tidak bisa lagi berada di pembawa mereka,surprise
biar cantik biar cepet dapet pacar ekspresi senang,joy
saat nabi muhammad berdebat dengan orang yahudi dan nasrani lalu diplintir oleh oknum non islam jika nabi muhammad,anger
gapapa enjoy semester life sebelum pingsan di semester selanjutnya hahahah,joy
rina tuh wajahnya jerawatan parah kayak nggak pernah ngerawat kulit sama sekali,disgust
pagi pagi dpt kabar baru ini rasanya pengen nangis masih positif thinking sbnernya tp sungguh ku tak bisa,sadness
honami suzuki sama shizuka anderson bisa main jd ibu anak menurutku,joy
haerin cuman kilometer kok kakak,trust
gila ini bikin marah besar ekspresi sangat marah,anger
ya allah sampe ke bawa mimpi ceritanya di gedor sama salah satu host terus salah bales dm eh ga jadi menang sedih sedih bangun langsung nyesek karna mimpi,sadness
halo semuaa sorry aku izin tag disini ya ini akunku selain akunnya masih kena limit soalnya jadi sementara disini dulu yaa untuk notebooknya paling lambat jadi tanggal inshaaallah tanggal bisa selesai buat yang mau pesen atau nanya lagi bisa langsung dm yaak,trust
trus siapa hmz,anger
sialan hari lain di kantor matahari meledak dari langit dan para wanita eh baiklah kembali ke keyboard,disgust
asik sahabat kunijungi re opening natasha diskon perawatan krim,joy
asisten digital dana siap bantu keluhan transaksi kamu buka app dana pilih historyriwayat pilih tr,trust
gatau senang bgt pokoknyaa ekspresi senang,joy
follback gua tha kok gua follow yg acc sebelah g aktif,anger
tidur selama hampir jam berturutturut dan masih lelah lebih baik tidak sakit,sadness
indonesia,trust
unexpected ending sedih banget pas adegan kena tembak didepan ceweknya lagi,sadness
paling sedih waktu ortu udah kehilangan masa jaya dulu bisa kali tiap hari order makanann entah mcdphdkfc dll sekarang kalo mau order nunggu menang giveaway itu pun ada batasan belinya karna harus hemat sedih banget sih tapi ya yang namanya dunia pasti muter,sadness
gue ngerasa kayak zombie hidup tapi ga ngerasa apaapa ekspresi sedih,sadness
astaghfirullah marah marah,anger
kok bisa sihh,surprise
ada anjirr guru ekonomi,anger
hamdallah panik bgt hari ini banyak lagi yaa,fear
udah gak sabar nungguin promo diskon besarbesaran siap belanja,anticipation
aku seharusnya menjadi ms twitterology,surprise
dosen teknik mesin polines ciptakan inovasi alat angkut kelapa sawit begini penampakannya,joy
bokap seni rupa nyokap administrasi gw hukum adek jurnalistik,trust
dih sepi amat,sadness
izinin suami poligami buat menghindari zina lol banget heh mmngnya nabi saya poligami gegara mata keranjang trus sangean trus ada niatan zina tpi biar gak zina jdi dinikahin ngelirik cewek sambil nyebarin ajaran agama gitu tolol belajar agama lagi sana,anger
wkt punya ld blm pernah deh iseng kenain ke aer wkwk takut ekspresi takut,fear
kamu profesi apaa,anticipation
aku belum jadi sekolah ilmu komunikasi politik aja udah banyak bgt yg ga suka ih hinaa banget aku kayanya,sadness
sejak hari itu ga ada satu orang pun yang gw percaya lagi teman sahabat saudara orang tua bukan orang yang tepat buat gw cerita segala senang sedih bahagia maupun susah gw bahkan tuhan pun sepertinya enggan gw jadiin tempat mengadu,sadness
